"hours_studied","extracurricular_activities","sleep_hours","physical_activity","exam_score"
27,"Yes",10,4,68
23,"Yes",7,4,71
23,"Yes",4,4,72
18,"No",8,1,88
19,"No",4,3,68
38,"No",6,4,74
18,"No",7,2,72
26,"No",9,3,70
32,"Yes",10,5,73
23,"No",6,3,74
17,"No",8,3,71
26,"No",6,3,73
26,"Yes",5,2,68
20,"No",4,3,68
19,"Yes",5,3,78
18,"No",7,4,68
35,"Yes",8,4,77
12,"Yes",5,4,73
33,"No",6,4,69
31,"Yes",5,2,70
23,"No",5,4,70
20,"Yes",5,3,69
26,"No",9,4,72
21,"Yes",7,3,70
24,"Yes",6,3,72
25,"Yes",7,2,71
19,"No",5,3,68
20,"Yes",5,5,68
36,"No",7,3,75
29,"No",6,3,68
26,"No",4,4,70
22,"No",6,3,71
22,"Yes",7,3,70
27,"Yes",6,4,72
27,"No",8,4,72
12,"Yes",8,5,69
19,"Yes",6,2,68
20,"Yes",7,2,71
20,"No",6,4,69
25,"Yes",7,3,71
7,"Yes",8,2,87
27,"No",8,2,74
17,"Yes",9,2,69
16,"Yes",8,4,70
13,"No",5,3,68
16,"No",10,2,70
19,"No",8,3,68
16,"Yes",8,3,69
28,"Yes",7,3,71
19,"Yes",6,2,69
24,"Yes",9,2,73
16,"Yes",7,4,68
20,"Yes",6,4,70
23,"Yes",6,3,72
29,"Yes",7,2,68
24,"No",7,3,68
25,"Yes",8,4,71
21,"Yes",6,3,68
28,"Yes",8,3,70
22,"Yes",8,4,70
15,"Yes",6,3,69
28,"Yes",4,4,73
24,"Yes",6,4,72
17,"No",4,3,69
22,"Yes",9,3,68
21,"Yes",6,3,71
22,"Yes",6,4,68
30,"Yes",10,2,70
26,"Yes",7,3,72
26,"No",6,3,70
14,"No",8,4,69
16,"No",8,2,68
13,"No",6,2,68
15,"No",6,3,68
18,"Yes",6,3,68
20,"Yes",8,5,72
25,"No",7,3,69
15,"No",4,3,68
29,"Yes",8,3,71
23,"Yes",5,3,69
26,"No",6,2,71
25,"No",7,4,68
25,"Yes",6,4,68
24,"No",7,3,69
14,"Yes",9,2,69
23,"Yes",9,3,74
13,"No",8,2,69
24,"Yes",6,3,72
16,"No",6,3,69
22,"No",6,2,72
17,"Yes",7,4,69
21,"Yes",6,3,68
18,"Yes",4,4,68
18,"No",7,2,71
11,"Yes",8,3,87
24,"Yes",8,2,72
14,"Yes",8,3,69
19,"No",6,3,70
22,"Yes",8,3,71
26,"No",5,2,72
28,"No",10,2,72
22,"No",8,1,72
27,"No",8,4,70
26,"No",7,3,68
26,"No",7,5,70
20,"Yes",7,4,71
18,"Yes",7,3,69
29,"Yes",7,5,74
29,"Yes",9,2,72
23,"Yes",7,3,71
22,"Yes",7,3,69
24,"Yes",5,4,69
25,"Yes",9,3,68
21,"Yes",9,3,71
32,"Yes",5,4,70
29,"No",9,3,69
32,"Yes",9,3,71
20,"Yes",8,2,69
26,"Yes",6,1,73
28,"Yes",8,3,73
16,"No",5,3,68
27,"No",7,3,74
30,"No",7,3,68
23,"No",8,2,69
15,"No",4,4,69
32,"Yes",7,4,68
18,"Yes",8,3,69
29,"Yes",7,4,72
25,"Yes",6,3,69
22,"Yes",8,3,68
23,"No",8,2,71
13,"No",8,2,69
22,"Yes",10,2,71
19,"Yes",8,4,73
31,"Yes",8,2,72
29,"No",5,4,73
19,"Yes",7,3,71
21,"Yes",8,2,69
13,"Yes",6,2,68
24,"Yes",8,4,70
25,"Yes",8,0,68
22,"No",8,1,70
20,"Yes",9,2,70
17,"No",6,2,69
19,"No",10,3,69
19,"Yes",7,3,69
20,"No",7,3,68
25,"No",7,4,70
16,"Yes",7,4,70
14,"Yes",8,3,69
17,"No",7,4,70
18,"No",6,3,69
17,"Yes",7,3,70
24,"No",5,3,69
17,"Yes",8,4,74
18,"Yes",8,3,70
20,"Yes",6,3,68
22,"Yes",7,4,69
36,"Yes",8,3,69
20,"Yes",6,4,70
17,"No",7,0,69
30,"Yes",7,2,73
18,"No",8,3,68
31,"Yes",9,2,74
25,"Yes",8,3,70
23,"Yes",8,2,68
25,"Yes",8,4,72
20,"Yes",8,2,70
20,"Yes",8,3,68
30,"Yes",9,2,71
27,"Yes",7,3,68
26,"Yes",5,5,70
29,"No",9,4,70
18,"Yes",7,4,69
31,"Yes",6,3,73
30,"No",7,3,74
22,"No",6,4,69
29,"Yes",7,2,69
15,"No",7,3,68
25,"Yes",7,3,71
21,"Yes",7,4,70
27,"Yes",9,2,70
16,"Yes",7,2,68
27,"Yes",9,3,70
21,"No",7,2,69
23,"No",7,2,70
13,"No",8,3,68
24,"No",10,4,70
18,"Yes",5,0,69
23,"No",7,2,71
27,"Yes",6,4,69
20,"Yes",9,3,72
15,"Yes",8,3,71
22,"Yes",8,3,70
19,"Yes",9,4,68
28,"Yes",7,3,71
22,"Yes",7,1,69
21,"Yes",5,3,68
25,"No",7,3,75
23,"No",6,3,71
44,"No",9,2,71
30,"No",10,2,69
22,"Yes",9,2,68
20,"No",7,2,68
17,"Yes",7,5,68
22,"Yes",9,3,68
11,"Yes",7,3,88
17,"Yes",7,4,68
19,"Yes",7,4,70
21,"No",7,2,68
24,"No",7,3,72
19,"Yes",7,1,68
20,"Yes",7,4,73
21,"Yes",7,3,71
22,"No",5,2,70
19,"Yes",7,3,68
21,"No",10,5,68
29,"No",6,3,68
26,"Yes",6,1,71
25,"Yes",10,2,70
25,"No",7,4,72
26,"No",4,3,70
24,"No",4,3,70
19,"Yes",6,3,70
27,"Yes",6,1,70
29,"No",9,2,73
14,"Yes",5,3,82
30,"No",7,2,71
26,"Yes",4,4,73
15,"Yes",5,4,69
27,"Yes",9,2,68
17,"Yes",8,4,70
22,"Yes",8,2,70
12,"Yes",9,3,70
32,"Yes",7,3,72
21,"Yes",7,2,71
28,"Yes",6,3,71
15,"Yes",6,5,72
21,"No",8,1,72
22,"No",8,4,71
24,"No",8,3,71
10,"No",4,2,69
19,"Yes",6,4,71
29,"Yes",10,4,70
24,"No",8,3,72
20,"No",6,2,69
19,"No",8,3,70
13,"No",6,3,68
22,"Yes",7,3,72
31,"Yes",8,4,73
23,"Yes",6,4,71
23,"Yes",6,3,70
28,"No",8,2,71
12,"Yes",5,2,70
16,"No",8,2,68
21,"No",7,3,71
20,"No",8,3,68
23,"Yes",6,1,74
14,"Yes",5,4,68
20,"Yes",6,3,68
23,"Yes",6,3,69
21,"Yes",5,2,69
21,"No",8,3,68
16,"No",5,5,68
24,"Yes",5,3,69
18,"No",9,3,70
23,"Yes",6,4,72
27,"No",4,2,71
30,"No",6,4,70
15,"Yes",7,5,68
17,"No",8,3,70
18,"Yes",7,2,69
18,"No",7,4,68
11,"Yes",7,5,69
31,"Yes",5,2,68
20,"Yes",8,2,68
21,"Yes",6,3,71
24,"Yes",9,4,71
30,"Yes",8,3,71
16,"Yes",6,1,69
19,"No",7,3,69
8,"Yes",6,2,70
27,"Yes",7,2,72
21,"Yes",6,3,69
25,"Yes",7,2,69
19,"No",9,3,68
28,"Yes",10,3,70
26,"No",6,4,68
24,"Yes",7,4,68
16,"Yes",8,3,69
25,"No",6,5,68
26,"Yes",8,2,70
16,"No",7,3,70
23,"Yes",7,2,68
18,"No",8,6,73
22,"Yes",7,4,68
22,"Yes",7,3,69
19,"Yes",6,4,72
30,"Yes",9,4,69
23,"Yes",9,2,69
19,"Yes",5,2,94
24,"Yes",7,2,71
28,"Yes",9,2,68
18,"Yes",5,5,71
23,"No",7,3,68
18,"Yes",6,3,70
25,"Yes",7,4,75
7,"Yes",10,2,86
19,"Yes",7,3,73
23,"No",7,6,68
23,"No",8,0,70
16,"Yes",4,2,71
16,"Yes",8,4,71
19,"No",8,1,68
15,"Yes",6,4,70
25,"Yes",10,3,70
18,"No",8,3,68
14,"Yes",5,3,68
13,"No",9,3,68
21,"Yes",8,3,69
28,"No",7,3,70
22,"Yes",6,4,73
23,"No",5,3,68
17,"Yes",8,3,68
21,"Yes",6,3,73
18,"No",7,4,70
14,"Yes",8,2,68
26,"Yes",7,4,68
23,"Yes",10,5,72
26,"No",8,3,68
15,"No",6,3,69
25,"Yes",5,2,74
25,"Yes",8,4,72
31,"Yes",9,3,71
34,"Yes",5,5,75
16,"No",9,3,69
24,"Yes",6,4,69
23,"No",6,2,70
23,"Yes",8,4,69
21,"Yes",9,3,69
28,"Yes",8,2,68
14,"Yes",8,4,70
23,"Yes",4,3,69
27,"No",8,2,69
30,"Yes",8,3,76
29,"No",8,3,72
31,"Yes",7,3,74
24,"Yes",9,5,71
28,"Yes",8,3,69
24,"Yes",8,2,69
14,"No",5,3,68
25,"Yes",5,5,73
31,"Yes",8,4,71
26,"Yes",8,4,74
20,"Yes",4,2,72
37,"Yes",7,4,76
26,"No",9,3,71
25,"Yes",7,4,68
23,"Yes",6,3,68
24,"No",10,3,70
22,"Yes",4,2,73
24,"Yes",8,3,69
26,"No",7,5,70
29,"Yes",7,3,72
24,"Yes",5,4,72
32,"Yes",8,1,70
15,"No",8,2,70
18,"No",6,2,71
21,"No",7,2,68
24,"No",7,2,68
19,"No",7,1,70
15,"No",8,3,73
25,"No",6,1,69
24,"No",8,3,71
28,"No",9,3,68
27,"No",10,4,69
21,"No",6,2,70
25,"No",7,2,71
19,"Yes",7,3,68
16,"Yes",5,3,68
13,"Yes",5,3,70
30,"Yes",6,4,68
14,"No",6,4,69
27,"No",6,3,71
21,"Yes",6,2,68
26,"Yes",8,4,71
23,"Yes",6,4,68
22,"Yes",6,2,70
31,"No",5,2,74
23,"Yes",6,3,70
22,"No",6,4,68
20,"Yes",4,1,70
14,"No",7,3,68
27,"No",10,6,69
34,"Yes",6,3,73
21,"Yes",7,5,71
20,"Yes",5,3,69
16,"Yes",5,6,72
11,"Yes",9,4,68
30,"No",6,3,71
19,"No",8,4,72
24,"Yes",5,2,68
27,"Yes",5,1,68
30,"Yes",6,5,73
18,"Yes",10,3,68
30,"No",4,5,72
24,"Yes",5,0,70
20,"Yes",9,5,71
23,"No",7,3,68
16,"Yes",6,1,86
32,"No",6,5,71
17,"Yes",8,3,70
21,"No",8,3,71
22,"No",10,3,71
21,"Yes",9,3,70
29,"No",5,4,73
33,"No",8,3,68
27,"No",9,2,74
25,"No",8,3,74
21,"Yes",8,2,69
20,"Yes",8,3,69
20,"Yes",8,1,68
32,"Yes",4,2,74
12,"No",7,3,68
23,"Yes",6,3,73
29,"No",8,5,70
34,"No",9,4,69
18,"Yes",6,2,68
23,"No",5,1,71
21,"No",5,3,71
23,"Yes",7,3,68
32,"No",7,3,68
32,"Yes",6,2,68
15,"Yes",5,3,72
17,"No",5,3,70
25,"Yes",6,2,69
16,"No",9,3,71
20,"Yes",7,3,70
26,"No",8,5,71
28,"No",7,2,68
23,"Yes",5,3,70
27,"Yes",8,3,68
23,"No",7,1,69
28,"Yes",7,5,70
19,"Yes",6,2,69
34,"No",6,3,73
25,"Yes",8,3,68
16,"Yes",8,2,70
21,"Yes",6,3,71
30,"Yes",6,2,74
24,"Yes",9,3,70
19,"Yes",9,4,73
17,"Yes",7,2,70
32,"No",8,5,68
27,"Yes",7,3,74
18,"No",7,4,96
13,"Yes",6,4,69
30,"Yes",6,3,70
31,"Yes",8,3,73
21,"No",7,2,69
26,"Yes",9,4,71
18,"No",6,3,69
17,"No",7,2,68
19,"Yes",5,1,72
20,"No",7,2,68
14,"No",7,3,68
27,"Yes",8,4,70
28,"Yes",6,1,68
18,"Yes",7,3,72
14,"Yes",9,2,68
17,"No",5,3,69
29,"Yes",4,4,75
14,"Yes",5,3,69
23,"Yes",6,3,70
19,"Yes",8,3,69
27,"No",6,2,68
20,"Yes",5,3,70
23,"No",8,3,71
15,"Yes",7,2,68
30,"Yes",6,4,73
23,"No",7,1,71
23,"No",5,2,70
15,"No",8,1,68
23,"Yes",7,4,68
28,"Yes",7,3,68
23,"Yes",9,4,74
30,"No",5,2,76
17,"Yes",9,2,70
13,"No",6,5,69
19,"Yes",7,2,69
32,"Yes",5,3,74
14,"No",9,3,70
29,"Yes",9,3,71
31,"Yes",6,2,68
33,"No",8,4,71
30,"Yes",7,1,74
20,"Yes",7,2,69
22,"Yes",7,2,69
29,"Yes",6,4,70
28,"Yes",6,2,68
24,"No",5,4,70
29,"Yes",8,3,68
35,"Yes",7,2,75
20,"No",10,2,71
19,"No",8,4,68
21,"No",6,3,72
27,"Yes",7,2,72
26,"Yes",6,3,72
20,"Yes",6,3,70
26,"No",10,1,71
25,"No",6,2,72
18,"Yes",7,4,70
28,"Yes",5,2,71
14,"Yes",8,2,99
28,"Yes",7,3,72
13,"Yes",9,2,68
12,"No",5,2,69
27,"Yes",6,4,73
34,"Yes",9,2,71
28,"No",9,3,68
27,"No",8,4,69
22,"Yes",7,3,69
19,"Yes",6,3,69
32,"No",5,3,76
25,"No",8,3,70
15,"No",8,3,68
26,"Yes",8,3,68
12,"Yes",6,3,70
18,"Yes",7,3,68
20,"No",7,3,69
22,"No",6,2,71
24,"Yes",8,2,68
24,"No",5,5,72
18,"Yes",6,3,73
27,"No",8,3,69
25,"No",8,3,70
12,"No",4,2,69
20,"Yes",6,2,69
31,"No",7,3,68
25,"Yes",5,2,75
19,"Yes",8,3,68
24,"Yes",5,3,72
18,"Yes",9,3,71
17,"No",9,2,68
14,"Yes",5,3,68
20,"Yes",5,1,68
15,"Yes",7,2,68
21,"No",5,3,70
25,"Yes",9,2,68
22,"Yes",8,3,70
23,"Yes",9,1,68
21,"No",9,3,69
20,"Yes",5,3,69
21,"No",9,2,68
33,"Yes",6,2,70
22,"No",9,3,68
27,"No",7,3,72
12,"Yes",10,3,70
24,"Yes",8,3,72
24,"Yes",7,5,71
22,"Yes",6,5,69
26,"Yes",7,1,73
25,"Yes",9,5,70
13,"No",7,4,68
25,"No",6,5,71
20,"No",6,3,71
20,"No",6,4,68
19,"Yes",5,2,70
27,"No",5,4,72
27,"Yes",6,4,72
24,"Yes",6,3,68
15,"Yes",7,3,68
22,"Yes",9,2,68
19,"No",7,3,69
25,"No",8,4,70
22,"Yes",8,4,68
26,"No",8,2,71
26,"Yes",7,2,69
15,"No",7,2,68
28,"No",8,4,72
23,"No",5,2,69
22,"Yes",9,4,71
19,"Yes",7,5,71
39,"No",8,1,78
34,"Yes",9,3,73
30,"No",6,3,74
16,"No",7,4,71
23,"Yes",7,4,69
26,"No",4,4,72
13,"Yes",7,4,72
25,"No",5,5,71
21,"Yes",9,2,69
19,"Yes",10,4,69
19,"Yes",9,4,69
18,"Yes",6,4,68
7,"No",7,3,68
21,"Yes",6,5,68
22,"Yes",7,1,72
28,"No",6,3,70
32,"Yes",7,3,68
22,"Yes",8,4,68
24,"No",7,2,68
26,"Yes",7,3,68
17,"Yes",8,3,68
23,"Yes",8,4,68
13,"No",4,4,69
19,"No",7,3,68
18,"No",6,3,68
13,"Yes",8,3,68
23,"No",6,3,69
17,"Yes",6,3,70
15,"Yes",6,3,68
18,"Yes",6,3,69
19,"No",6,2,70
21,"Yes",7,4,70
13,"Yes",6,1,70
21,"No",6,4,68
23,"No",8,2,68
20,"No",7,5,68
25,"Yes",10,3,69
23,"Yes",10,3,69
21,"Yes",9,3,69
18,"Yes",6,3,71
19,"No",6,2,69
18,"No",8,3,68
22,"Yes",9,3,68
20,"Yes",8,3,72
21,"Yes",4,4,71
27,"No",10,4,68
23,"No",6,0,73
26,"Yes",10,2,69
11,"Yes",5,3,68
14,"Yes",7,2,68
18,"Yes",6,4,69
27,"Yes",7,3,73
14,"Yes",6,3,68
16,"No",6,4,70
30,"No",9,3,69
25,"No",10,5,71
27,"No",8,4,68
17,"No",7,3,68
11,"No",9,3,70
28,"Yes",9,3,70
19,"No",6,3,69
17,"Yes",6,3,68
20,"Yes",5,2,72
19,"Yes",9,3,68
18,"No",4,2,69
30,"Yes",10,4,70
26,"No",4,3,73
12,"No",8,2,70
13,"Yes",8,1,68
16,"No",9,3,70
21,"No",7,3,69
22,"Yes",5,5,75
9,"No",6,3,69
15,"Yes",8,4,68
19,"Yes",9,4,68
25,"No",6,3,70
24,"No",5,2,68
23,"No",6,2,70
26,"No",10,3,71
28,"Yes",4,3,72
30,"No",7,3,72
14,"Yes",10,3,68
30,"No",6,3,70
18,"Yes",7,3,70
28,"No",6,6,73
21,"Yes",7,4,70
11,"No",7,1,68
23,"Yes",7,4,71
20,"Yes",6,4,70
31,"Yes",9,2,69
21,"No",6,4,71
18,"No",8,4,82
21,"No",7,2,72
24,"Yes",10,3,70
29,"Yes",7,3,71
25,"Yes",7,2,84
25,"Yes",7,3,72
22,"No",8,5,72
27,"Yes",8,6,70
18,"Yes",10,2,71
22,"Yes",4,3,68
27,"No",10,3,74
16,"No",9,3,68
23,"No",5,1,68
23,"Yes",8,1,71
16,"Yes",7,4,70
19,"Yes",6,2,71
27,"Yes",4,3,68
31,"No",5,4,72
25,"Yes",7,4,70
22,"No",8,3,68
22,"Yes",7,4,70
32,"Yes",10,1,71
28,"Yes",9,5,72
18,"Yes",6,2,71
22,"Yes",4,2,68
23,"No",9,4,72
29,"Yes",8,3,70
30,"Yes",7,2,69
39,"Yes",6,3,73
21,"Yes",9,6,70
8,"No",7,4,68
32,"No",6,2,71
15,"No",9,3,70
17,"Yes",6,3,69
30,"Yes",10,3,72
22,"No",7,5,68
20,"Yes",6,3,72
23,"Yes",8,4,73
12,"Yes",6,3,71
17,"Yes",4,2,68
24,"No",7,3,70
20,"Yes",8,2,68
20,"Yes",7,4,71
17,"No",8,4,70
19,"Yes",5,4,73
33,"No",7,3,72
11,"Yes",5,3,69
25,"No",5,3,71
30,"No",9,4,73
25,"Yes",8,4,68
25,"No",8,2,72
15,"No",10,3,68
26,"Yes",6,2,74
23,"Yes",5,3,68
21,"No",7,2,71
18,"No",8,3,71
24,"No",6,3,68
37,"Yes",6,5,72
21,"Yes",7,3,71
23,"Yes",8,1,72
29,"Yes",5,1,70
23,"Yes",10,2,72
26,"No",6,2,68
24,"No",5,2,68
22,"Yes",7,5,72
22,"No",9,4,72
19,"Yes",9,3,71
18,"Yes",8,3,69
24,"Yes",6,4,71
16,"No",9,5,70
30,"Yes",8,1,70
28,"No",8,3,73
29,"No",7,4,76
27,"No",7,3,71
20,"Yes",9,2,72
11,"Yes",8,2,70
28,"Yes",6,2,69
21,"Yes",6,1,70
28,"Yes",8,2,71
19,"No",8,2,69
21,"No",8,4,70
27,"Yes",7,1,70
30,"Yes",9,5,70
19,"Yes",6,2,68
9,"No",7,4,69
14,"Yes",6,2,68
19,"Yes",6,2,70
26,"No",8,3,68
21,"Yes",7,4,69
22,"Yes",5,3,70
15,"Yes",6,3,70
31,"Yes",4,2,74
30,"Yes",9,2,72
20,"No",8,2,71
26,"No",7,5,68
28,"Yes",6,3,72
25,"Yes",7,2,71
20,"Yes",4,4,70
30,"Yes",6,4,73
19,"No",9,3,74
27,"No",7,3,70
21,"Yes",8,3,71
23,"No",7,5,70
16,"Yes",5,2,68
21,"No",6,2,72
25,"No",4,3,68
18,"No",5,1,68
19,"Yes",9,3,69
26,"Yes",8,2,71
14,"No",6,2,70
23,"No",5,3,70
20,"Yes",7,4,70
31,"Yes",6,3,71
22,"Yes",5,3,72
17,"No",6,4,72
18,"No",5,6,69
22,"No",9,4,71
22,"Yes",6,2,70
28,"Yes",9,2,98
23,"Yes",7,3,73
21,"Yes",8,3,69
23,"Yes",6,2,68
25,"Yes",7,2,68
20,"No",6,3,70
23,"No",7,2,68
31,"No",5,3,69
22,"No",5,3,69
12,"No",9,4,69
23,"Yes",8,4,71
31,"No",5,2,68
20,"No",6,3,68
28,"No",7,3,71
16,"No",6,3,70
23,"Yes",6,2,68
18,"Yes",7,4,75
29,"Yes",8,1,71
20,"Yes",4,3,69
24,"No",9,2,69
21,"Yes",7,4,69
33,"Yes",7,5,78
23,"Yes",7,4,68
20,"No",8,4,70
26,"Yes",6,5,68
21,"Yes",6,5,68
21,"No",5,3,69
13,"Yes",8,3,68
21,"Yes",8,1,80
19,"Yes",9,3,68
22,"No",5,4,71
26,"Yes",8,3,72
33,"Yes",9,4,69
27,"Yes",9,4,70
21,"No",7,2,68
21,"Yes",8,2,70
29,"Yes",9,3,72
23,"No",9,5,71
27,"Yes",8,3,72
14,"No",6,2,68
21,"Yes",6,5,95
17,"Yes",7,2,68
24,"Yes",7,3,71
24,"Yes",7,3,68
19,"Yes",8,2,68
23,"Yes",7,3,71
22,"Yes",5,2,71
26,"No",4,2,70
27,"No",10,2,70
27,"Yes",8,2,75
25,"Yes",8,3,73
30,"Yes",6,2,73
25,"No",7,3,71
21,"Yes",5,4,70
23,"No",8,5,70
16,"No",7,2,69
23,"Yes",7,3,72
26,"Yes",6,3,71
32,"Yes",9,3,69
14,"Yes",5,2,68
17,"No",7,3,68
19,"Yes",7,2,68
22,"Yes",7,4,74
24,"Yes",9,2,85
24,"Yes",9,2,68
16,"Yes",7,2,68
33,"Yes",6,4,75
20,"Yes",7,4,68
21,"No",5,2,68
26,"Yes",8,3,69
24,"No",6,1,70
32,"Yes",8,3,75
21,"No",7,5,70
21,"No",7,3,68
16,"Yes",7,2,68
18,"No",10,3,68
21,"No",7,2,68
24,"No",7,2,69
25,"Yes",6,2,74
25,"No",8,2,69
14,"Yes",8,4,71
26,"Yes",8,4,71
26,"No",5,4,69
15,"No",8,4,68
22,"Yes",6,3,71
25,"Yes",7,4,94
19,"Yes",7,3,68
23,"No",6,2,70
25,"No",10,3,68
14,"Yes",6,3,69
21,"No",8,4,70
24,"Yes",8,2,72
28,"Yes",9,4,69
15,"Yes",7,3,68
17,"No",7,4,69
27,"Yes",9,3,69
23,"Yes",5,1,71
24,"Yes",7,4,70
8,"Yes",9,4,68
15,"No",6,0,71
29,"Yes",6,2,69
17,"Yes",7,2,68
27,"Yes",5,4,71
28,"Yes",4,3,69
22,"Yes",7,4,68
13,"Yes",7,3,69
27,"Yes",7,1,69
31,"Yes",7,3,70
25,"Yes",5,3,70
27,"Yes",5,3,70
25,"Yes",4,2,71
23,"Yes",7,3,69
21,"Yes",7,2,69
22,"Yes",4,4,69
28,"Yes",7,2,74
28,"Yes",6,5,71
23,"No",7,1,68
25,"Yes",8,3,69
23,"Yes",8,5,68
25,"Yes",10,2,68
26,"No",6,3,71
22,"No",7,3,69
15,"Yes",4,4,68
20,"No",9,4,69
23,"Yes",7,5,71
17,"No",4,4,68
25,"Yes",8,4,69
22,"Yes",6,4,68
30,"No",8,3,69
13,"Yes",10,4,69
22,"No",10,1,72
24,"No",6,3,69
22,"Yes",6,2,70
24,"Yes",8,3,71
13,"Yes",8,2,70
26,"No",8,4,69
14,"Yes",7,1,69
19,"Yes",7,2,71
15,"Yes",7,4,68
22,"No",6,3,68
22,"Yes",10,3,69
17,"Yes",7,4,68
26,"Yes",10,2,74
23,"Yes",4,4,72
27,"Yes",7,2,73
27,"No",6,4,68
25,"No",5,4,70
21,"Yes",8,3,69
26,"No",7,3,93
23,"No",6,4,68
15,"Yes",9,2,69
24,"Yes",10,4,68
21,"Yes",6,2,69
19,"No",8,3,68
25,"Yes",9,4,72
32,"No",6,4,73
22,"Yes",5,2,68
24,"No",8,2,70
28,"No",8,3,69
25,"Yes",7,4,69
18,"Yes",6,3,68
14,"Yes",5,3,68
17,"No",5,3,69
30,"Yes",6,3,72
25,"Yes",7,5,68
17,"Yes",7,3,71
25,"No",9,3,73
13,"No",5,3,68
29,"No",8,4,69
20,"Yes",8,2,69
25,"Yes",5,5,70
31,"Yes",7,2,71
14,"Yes",5,3,71
20,"No",7,3,69
25,"Yes",7,4,93
19,"Yes",6,1,72
27,"No",7,1,71
7,"No",6,2,69
21,"Yes",7,2,70
18,"Yes",7,4,73
23,"Yes",6,4,68
19,"Yes",5,3,69
26,"Yes",9,2,69
28,"Yes",7,4,69
18,"No",8,2,68
23,"No",7,1,71
20,"Yes",9,4,68
29,"Yes",9,4,70
27,"Yes",5,2,73
17,"Yes",6,4,69
30,"No",4,3,74
15,"Yes",8,2,68
22,"Yes",5,5,72
28,"Yes",7,4,71
16,"No",7,4,69
27,"Yes",6,3,71
23,"Yes",6,3,68
17,"No",5,2,69
22,"No",10,4,68
25,"Yes",8,4,73
16,"Yes",6,2,69
30,"Yes",8,1,71
20,"Yes",8,2,68
19,"No",8,3,71
24,"Yes",9,3,72
20,"No",7,2,69
24,"No",7,3,70
33,"No",9,3,70
21,"No",7,1,70
29,"Yes",7,4,73
18,"Yes",7,4,70
17,"No",8,5,71
16,"Yes",6,3,82
30,"Yes",8,3,68
20,"Yes",6,5,68
24,"Yes",5,3,69
14,"No",7,2,68
25,"Yes",9,3,71
14,"Yes",6,3,69
24,"Yes",6,2,70
27,"No",8,2,70
25,"Yes",6,4,73
22,"Yes",6,4,68
17,"Yes",4,4,72
16,"Yes",8,4,68
14,"Yes",8,3,69
24,"Yes",10,4,70
15,"Yes",9,2,69
14,"Yes",6,2,68
17,"Yes",7,4,70
26,"No",7,2,69
28,"No",5,5,76
21,"No",8,3,70
23,"Yes",5,3,74
19,"Yes",7,3,72
28,"No",8,4,68
20,"Yes",10,3,69
22,"Yes",8,2,70
20,"No",7,3,72
20,"Yes",9,3,69
34,"Yes",5,3,68
27,"No",7,2,74
24,"No",8,3,70
26,"Yes",5,2,68
23,"No",6,1,69
20,"Yes",5,3,68
21,"No",7,4,69
30,"Yes",7,3,77
23,"Yes",6,4,68
20,"Yes",6,3,68
23,"Yes",9,1,73
23,"Yes",6,3,69
30,"No",8,2,73
18,"Yes",10,3,72
21,"Yes",7,1,72
15,"Yes",9,3,69
27,"No",7,3,74
22,"No",8,5,72
11,"Yes",5,2,71
28,"Yes",6,3,70
24,"No",7,2,71
26,"Yes",7,3,74
14,"No",8,4,70
24,"No",8,2,68
20,"Yes",7,5,68
1,"Yes",4,2,92
22,"Yes",9,4,69
22,"No",7,2,68
37,"Yes",9,2,68
24,"Yes",7,2,68
19,"Yes",8,2,68
8,"Yes",8,2,69
24,"No",8,3,75
23,"Yes",6,3,73
16,"Yes",9,4,68
16,"No",10,2,69
24,"No",9,4,69
22,"Yes",9,4,69
19,"Yes",9,4,72
28,"Yes",9,3,70
15,"Yes",8,1,68
19,"No",4,5,68
20,"Yes",6,1,71
21,"Yes",8,2,69
25,"No",8,4,71
26,"No",8,2,69
13,"Yes",10,3,68
24,"Yes",7,2,72
24,"Yes",7,3,74
24,"No",4,2,71
27,"Yes",9,4,72
23,"No",9,3,71
17,"Yes",10,2,71
17,"No",5,4,69
23,"Yes",6,3,74
35,"No",6,2,68
21,"No",6,4,70
27,"No",5,3,69
34,"No",6,2,72
21,"No",6,2,70
19,"Yes",8,4,68
17,"Yes",5,2,68
38,"Yes",4,4,74
28,"Yes",4,2,70
21,"No",7,2,68
16,"Yes",9,2,69
14,"Yes",7,4,70
23,"Yes",7,2,71
16,"No",8,1,69
26,"Yes",5,2,69
26,"Yes",6,3,68
24,"No",9,3,72
15,"Yes",6,2,68
30,"Yes",7,3,72
24,"No",9,3,71
17,"Yes",7,2,70
20,"Yes",7,3,68
10,"No",7,3,70
17,"Yes",8,3,70
25,"No",9,1,68
21,"Yes",6,4,71
26,"Yes",7,2,69
18,"Yes",8,2,72
28,"Yes",9,3,70
28,"Yes",10,3,68
30,"No",8,1,68
23,"No",9,2,69
21,"Yes",7,1,69
12,"No",5,2,70
19,"No",8,3,69
27,"Yes",8,3,72
29,"No",7,4,68
27,"No",6,3,68
26,"No",8,2,68
16,"Yes",8,4,69
30,"Yes",7,3,70
26,"No",8,2,72
16,"No",9,5,71
18,"No",6,4,68
21,"No",6,4,69
25,"Yes",6,4,69
26,"No",6,4,71
19,"Yes",6,3,68
23,"No",7,2,68
18,"Yes",4,4,72
22,"No",6,3,70
19,"Yes",6,4,70
27,"No",7,3,74
18,"Yes",6,3,68
12,"Yes",6,4,68
